group_name,body,description
"apache,",^[error],Apache error messages grouped.
"apache,",^[warn],Apache warn messages grouped.
"apache,",^[notice],Apache notice messages grouped.
"apache,",exit signal Segmentation Fault,Apache segmentation fault.
"apache,",denied by server configuration,Attempt to access forbidden file or directory.
"apache,",Directory index forbidden by rule,Attempt to access forbidden directory index.
"apache,",Client sent malformed Host header,Code Red attack.
"apache,",authentication failed,User authentication failed.
"apache,",user \S+ not found|user \S+ in realm \.* not found,Attempt to login using a non-existent user.
"apache,",authentication failure,User authentication failed.
"apache,","['File does not exist: |', 'failed to open stream: No such file or directory|', 'Failed opening']",Attempt to access an non-existent file (those are reported on the access.log).
"apache,",Invalid URI in request,Invalid URI (bad client request).
"apache,",File name too long|request failed: URI too long,"Invalid URI, file name too long."
"apache,",mod_security: Access denied|ModSecurity: Access denied,Access attempt blocked by Mod Security.
"apache,",Resource temporarily unavailable:,Apache without resources to run.
"apache,",^mod_security-message:,Modsecurity alert.
"apache,",^mod_security-message: Access denied,Modsecurity access denied.
"apache,",[\S*:error],Apache error messages grouped.
"apache,",[\S+:warn],Apache warn messages grouped.
"apache,",[\S+:notice],Apache notice messages grouped.
"apache,",exit signal Segmentation Fault,Apache segmentation fault.
"apache,","['File does not exist: |', 'failed to open stream: No such file or directory|', 'Failed opening']",Attempt to access an non-existent file (those are reported on the access.log).
"apache,",PHP Notice:,PHP Notice in Apache log
"apache,",File name too long:,File name too long.
"apache,",Permission denied: | client denied by server configuration:,Permission denied.
"apache,",script not found,A script cannot be accessed.
"apache,",ModSecurity: Warning,ModSecurity Warning messages grouped
"apache,",ModSecurity: Access denied,ModSecurity Access denied messages grouped
"apache,",ModSecurity: Audit log:,ModSecurity Audit log messages grouped
"apache,",with code 403,ModSecurity rejected a query
"local,syslog,apparmor",apparmor=,Apparmor grouping
"local,syslog,apparmor",apparmor=,Apparmor DENIED
"syslog,arpwatch,",flip flop,"['Arpwatch ""flip flop"" message.', 'IP address/MAC relation changing too often.']"
"syslog,arpwatch,",reaper: pid,Arpwatch exiting.
"syslog,arpwatch,",changed ethernet address,Changed network interface for ip address.
"syslog,arpwatch,",bad interface eth0|exiting|Running as,Arpwatch startup/exiting messages.
"syslog,arpwatch,",sent bad addr len,Arpwatch detected bad address len (ignored).
"syslog,arpwatch,",/dev/bpf0: Permission denied,arpwatch probably run with wrong permissions
"syslog,arpwatch,",reused old ethernet address,An IP has reverted to an old ethernet address.
"syslog,arpwatch,",ethernet mismatch,Possible arpspoofing attempt.
"syslog,asterisk,",^NOTICE,Asterisk notice messages grouped.
"syslog,asterisk,",^WARN,Asterisk warning message.
"syslog,asterisk,",^ERROR,Asterisk error message.
"syslog,asterisk,",Wrong password,Login session failed.
"syslog,asterisk,",Username/auth name mismatch,Login session failed (invalid user).
"syslog,asterisk,",No matching peer found,Login session failed (invalid extension).
"syslog,asterisk,",No registration for peer,Login session failed (invalid iax user).
"syslog,asterisk,",Don't know how to respond via,Possible Registration Hijacking.
"syslog,asterisk,",failed MD5 authentication,IAX peer Wrong Password.
"syslog,asterisk,",No matching peer found|extension not found in context,Login session failed (invalid extension).
"syslog,attacks,",,System user successfully logged to the system.
"syslog,attacks,",,Buffer overflow attack on rpc.statd
"syslog,attacks,",,Buffer overflow on WU-FTPD versions prior to 2.6
"syslog,attacks,",?????????????????????,Possible buffer overflow attempt.
"syslog,attacks,",changed by \(\(null\),"""Null"" user changed some information."
"syslog,attacks,",@@@@@@@@@@@@@@@@@@@@@@@@@,Buffer overflow attempt (probably on yppasswd).
"syslog,attacks,",,Heap overflow in the Solaris cachefsd service.
"syslog,attacks,",attempt to execute code on stack by,"['Stack overflow attempt or program exiting', 'with SEGV (Solaris).']"
"syslog,attacks,",,Multiple authentication failures.
"syslog,attacks,",,"['Multiple authentication failures followed', 'by a success.']"
"syslog,attacks,",,Multiple viruses detected - Possible outbreak.
"syslog,cimserver,",Authentication failed,Compaq Insight Manager authentication failure.
"syslog,cimserver,",Server stopped,Compaq Insight Manager stopped.
"clamd,freshclam,",FOUND,Virus detected
"clamd,freshclam,",^ERROR:,Clamd error
"clamd,freshclam,",^WARNING:,Clamd warning
"clamd,freshclam,",clamd daemon,Clamd restarted
"clamd,freshclam,",Database modification detected,Clamd database updated
"clamd,freshclam,",ClamAV update process started,ClamAV database update
"clamd,freshclam,",Database updated,ClamAV database updated
"clamd,freshclam,",Incremental update failed|Error while reading database from|Update failed.,Could not download the incremental virus definition updates.
"syslog,courier,","^Connection,",New courier (imap/pop3) connection.
"syslog,courier,","^LOGIN FAILED,| FAILED:",Courier (imap/pop3) authentication failed.
"syslog,courier,","^LOGOUT,|^DISCONNECTED",Courier logout/timeout.
"syslog,courier,","^LOGIN,",Courier (imap/pop3) authentication success.
"dovecot,",login: Login:,Dovecot Authentication Success.
"dovecot,",Password mismatch$,Dovecot Authentication Failed.
"dovecot,",starting up,Dovecot is Starting Up.
"dovecot,",^Fatal:,Dovecot Fatal Failure.
"dovecot,",user not found|User not known|unknown user|auth failed,Dovecot Invalid User Login Attempt.
"dovecot,",: Disconnected:,Dovecot Session Disconnected.
"dovecot,",: Aborted login,Dovecot Aborted Login.
"dovecot,",user not found|User not known|unknown user|auth failed,Dovecot Invalid User Login Attempt.
"syslog,sshd,dropbear",Failed to get kex value,Failed to get key exchange value
"syslog,sshd,dropbear",Premature kexdh_init message received,Premature kexdh_init message
"syslog,sshd,dropbear",bad password attempt for,Bad password attempt.
"syslog,sshd,dropbear",attempt for nonexistent user,Bad password attempt for non existent user.
"syslog,sshd,dropbear",exit after auth \(\S+\): Disconnect received,User disconnected.
"syslog,sshd,dropbear",exit before auth,Client exited before authentication.
"syslog,sshd,dropbear",Incompatible remote version,Incompatible remote version.
"syslog,sshd,dropbear",password auth succeeded for,User successfully logged in using a password.
"syslog,sshd,dropbear",Pubkey auth succeeded,User successfully logged in using a public key.
"exim,",^\d\d\d\d-\d\d-\d\d \d\d:\d\d:\d\d SMTP,Exim SMTP Messages Grouped.
"exim,",^\d\d\d\d-\d\d-\d\d \d\d:\d\d:\d\d dovecot,dovecot messages grouped.
"exim,",authenticator failed,Exim Auth failed
"exim,",connection count =,Exim connection
"exim,",lost$,Exim connection lost
"exim,",dropped: too many syntax or protocol errors,Exim syntax or protocol errors
"local,firewalld,",ERROR:,firewalld error
"local,firewalld,",No chain/target/match by that name.$,Incorrect chain/target/match.
"local,firewalld,",ZONE_ALREADY_SET$,firewalld: zone already set.
"syslog,ftpd,",FTP LOGIN REFUSED,FTP connection refused.
"syslog,ftpd,",created,File created via FTP
"syslog,ftpd,",deleted,File deleted via FTP
"syslog,ftpd,",FTPD: IMPORT file,User uploaded a file to server.
"syslog,ftpd,",FTPD: EXPORT file,User downloaded a file to server.
"syslog,ftpd,",FTP LOGIN FROM|connection from|connect from,Remote host connected to FTP server.
"syslog,ftpd,",refused connect from,Connection blocked by Tcp Wrappers.
"syslog,ftpd,",warning: can't verify hostname: |gethostbyaddr:,Reverse lookup error (bad ISP config).
"syslog,ftpd,",repeated login failures,Multiple FTP failed login attempts.
"syslog,ftpd,",timed out after,User disconnected due to time out.
"syslog,ftpd,",PAM_ERROR_MSG: Account is disabled,Attempt to login with disabled account.
"syslog,ftpd,",^Failed authentication from,FTP authentication failure.
"syslog,ftpd,",^login \S+ from \S+ failed,FTP authentication failure.
"syslog,hordeimp,",^[info],Horde IMP informational message.
"syslog,hordeimp,",^[notice],Horde IMP notice message.
"syslog,hordeimp,",^[error],Horde IMP error message.
"syslog,hordeimp,",^[emergency],Horde IMP emergency message.
"syslog,hordeimp,",Login success for,Horde IMP successful login.
"syslog,hordeimp,",FAILED LOGIN,Horde IMP Failed login.
"syslog,imapd,",Login failed user=|AUTHENTICATE LOGIN failure,Imapd user login failed.
"syslog,imapd,",Authenticated user=,Imapd user login.
"syslog,imapd,",Logout user=,Imapd user logout.
"syslog,mailscanner,",^Phishing bad sites list updated,ignore
"mcafee,",The file \.+ contain|infected with|User defined detection|scan found|error attempting to clean,McAfee Windows AV - Virus detected and not removed.
"mcafee,",quarantined|moved to quarantine|file was deleted|deleted successfully|has been deleted|message deleted|deleted after|cleaned|successfully deleted,McAfee Windows AV - Virus detected and properly removed.
"mcafee,",Will be deleted,McAfee Windows AV - Virus detected and file will be deleted.
"mcafee,",scan started|scan stopped,McAfee Windows AV - Scan started or stopped.
"mcafee,",completed.  No detections,McAfee Windows AV - Scan completed with no viruses found.
"mcafee,",scan was cancelled |has taken too long,McAfee Windows AV - Virus scan cancelled.
"mcafee,",scan was canceled because,McAfee Windows AV - Virus scan cancelled due to shutdown.
"mcafee,",update was successful,McAfee Windows AV - Virus program or DAT update succeeded.
"mcafee,",update failed,McAfee Windows AV - Virus program or DAT update failed.
"mcafee,",update was cancelled,McAfee Windows AV - Virus program or DAT update cancelled.
"mcafee,",contains the EICAR test file,McAfee Windows AV - EICAR test file detected.
"windows,mse,",Virus:DOS/EICAR_Test_File,Microsoft Security Essentials - EICAR test file detected.
"windows,",unexpected shutdown,Unexpected Windows shutdown.
"windows,",ID:\s+\p*S-1-5-32-544,Administrators Group Changed
"windows,",ID:\s+%{S-1-1-0},Everyone Group Changed
"windows,",ID:\s+%{S-1-5-9},Enterprise Domain Controllers Group Changed
"windows,",ID:\s+%{S-1-5-11},Authenticated Users Group Changed
"windows,",ID:\s+%{S-1-5-13},Terminal Server Users Group Changed
"windows,",ID:\s+%{S-1-5-21\S+-512},Domain Admins Group Changed
"windows,",ID:\s+%{S-1-5-21\S+-513},Domain Users Group Changed
"windows,",Target Account Name: None,Local User Group NONE
"windows,",ID:\s+%{S-1-5-21\S+-514},Domain Guests Group Changed
"windows,",ID:\s+%{S-1-5-21\S+-515},Domain Computers Group Changed
"windows,",ID:\s+%{S-1-5-21\S+-516},Domain Controllers Group Changed
"windows,",ID:\s+%{S-1-5-21\S+-517},Cert Publishers Group Changed
"windows,",ID:\s+%{S-1-5-21\.+-518},Schema Admins Group Changed
"windows,",ID:\s+%{S-1-5-21\S+-519},Enterprise Admins Group Changed
"windows,",ID:\s+%{S-1-5-21\S+-520},Group Policy Creator Owners Group Changed
"windows,",\w* ID:\s+%{S-1-5-21\S+-553},RAS and IAS Servers Group Changed
"windows,",ID:\s+%{S-1-5-32-545},Users Group Changed
"windows,",ID:\s+%{S-1-5-32-546},Guests Group Changed
"windows,",ID:\s+%{S-1-5-32-547},Power Users Group Changed
"windows,",ID:\s+%{S-1-5-32-548},Account Operators Group Changed
"windows,",ID:\s+%{S-1-5-32-549},Server Operators Group Changed
"windows,",\w* ID:\s+%{S-1-5-32-550},Print Operators Group Changed
"windows,",ID:\s+%{S-1-5-32-551},Backup Operators Group Changed
"windows,",ID:\s+%{S-1-5-32-552},Replicators Group Changed
"windows,",ID:\s+%{S-1-5-32-554},Pre-Windows 2000 Compatible Access Group Changed
"windows,",ID:\s+%{S-1-5-32-555},Remote Desktop Users Group Changed
"windows,",ID:\s+%{S-1-5-32-556},Network Configuration Operators Group Changed
"windows,",ID:\s+%{S-1-5-32-557},Incoming Forest Trust Builders Group Changed
"windows,",ID:\s+%{S-1-5-32-558},Performance Monitor Users Group Changed
"windows,",ID:\s+%{S-1-5-32-559},Performance Log Users Group Changed
"windows,",ID:\s+%{S-1-5-32-560},Windows Authorization Access Group Changed
"windows,",ID:\s+%{S-1-5-32-561},Terminal Server License Servers Group Changed
"windows,",ID:\s+%{S-1-5-32-562},Distributed COM Users Group Changed
"windows,",ID:\s+%{S-1-5-\s*21\.+\s*-498},Enterprise Read-only Domain Controllers Group Changed
"windows,",ID:\s+%{S-1-5-\s*21\.+\s*-529},Read-only Domain Controllers Group Changed
"windows,",ID:\s+%{S-1-5-32-569},Cryptographic Operators Group Changed
"windows,",ID:\s+%{S-1-5-\s*21\.+\s*-571},Allowed RODC Password Replication Group Changed
"windows,",ID:\s+%{S-1-5-\s*21\.+\s*-572},Denied RODC Password Replication Group Changed
"windows,",ID:\s+%{S-1-5-32-573},Event Log Readers Group Changed
"windows,",ID:\s+%{S-1-5-32-574},Certificate Service DCOM Access Group Changed
"windows,",Failure Code: 0x1F,"['Windows DC integrity check on decrypted', 'field failed.']"
"windows,",Failure Code: 0x22,Windows DC - Possible replay attack.
"windows,",Failure Code: 0x25,Windows DC - Clock skew too great.
"windows,",Logon Type:   8,MS Exchange Logon Success.
"windows,",Logon Type:   8,User Logoff Exchange.
"windows,",chromoting,Chrome Remote Desktop attempt - access denied
"windows,",chromoting,Chrome Remote Desktop attempt - connected
"windows,",chromoting,Chrome Remote Desktop attempt - disconnected
"mysql_log,",^MySQL log: \d+ \S+ \d+ Connect,Database authentication success.
"mysql_log,",Access denied for user,Database authentication failure.
"mysql_log,",^MySQL log: \d+ \S+ \d+ Query,Database query.
"mysql_log,",^MySQL log: \d+ \S+ \d+ Quit,User disconnected from database.
"mysql_log,",mysqld ended|Shutdown complete,Database shutdown message.
"mysql_log,",mysqld started|mysqld restarted,Database startup message.
"mysql_log,",^MySQL log: \d+ \S+ \d+ [ERROR],Database error.
"mysql_log,",Fatal error:,Database fatal error.
"syslog,named,",dropping source port zero packet from,Invalid DNS packet. Possibility of attack.
"syslog,named,",denied AXFR from,Failed attempt to perform a zone transfer.
"syslog,named,",denied update from|unapproved update from,"['DNS update denied.', 'Generally mis-configuration.']"
"syslog,named,",unable to rename log file,Log permission misconfiguration in Named.
"syslog,named,",unexpected RCODE,Unexpected error while resolving domain.
"syslog,named,",refused notify from non-master,DNS configuration error.
"syslog,named,",update \S+ denied,DNS update using RFC2136 Dynamic protocol.
"syslog,named,",query (cache) denied|: query (cache),Query cache denied (probably config error).
"syslog,named,",exiting (due to fatal error),Named fatal error. DNS service going down.
"syslog,named,","['^zone \\S+ serial number \\S+ received from master', '\\S+ \\S ours (\\S+)']","['Serial number from master is lower', 'than stored.']"
"syslog,named,",^transfer of \S+ from \S+ failed while receiving \S+ REFUSED,Unable to perform zone transfer.
"syslog,named,",^zone \S+: expired,Zone transfer error.
"syslog,named,",zone transfer deferred due to quota,Zone transfer deferred.
"syslog,named,",bad owner name (check-names),Hostname contains characters that check-names does not like.
"syslog,named,",loaded serial|transferred serial,Zone transfer.
"syslog,named,","['syntax error near|', 'reloading configuration failed: unexpected token']",Syntax error in a named configuration file.
"syslog,named,",refresh: retry limit for master \S+ exceeded,Zone transfer rety limit exceeded
"syslog,named,",already exists previous definition,Zone has been duplicated.
"syslog,named,",starting BIND,BIND has been started
"syslog,named,",has no address records,Missing A or AAAA record
"syslog,named,",zone \S+: \(master\) removed,Zone has been removed from a master server
"syslog,named,",loading from master file \S+ failed: not at top of zone$,Origin of zone and owner name of SOA do not match.
"syslog,named,",already exists previous definition,Zone has been duplicated
"syslog,named,",reloading configuration failed: unexpected end of input,BIND Configuration error.
"syslog,named,",zone \S+: \(master\) removed,Zone has been removed from a master server
"syslog,named,",loading from master file \S+ failed: not at top of zone$,Origin of zone and owner name of SOA do not match.
"syslog,named,","['^transfer of|', 'AXFR started$']",Zone transfer.
"syslog,named,",failed to connect: connection refused,"Zone transfer failed, unable to connect to master."
"syslog,named,",IPv6 interfaces failed,Could not listen on IPv6 interface.
"syslog,named,",failed; interface ignored,Could not bind to an interface.
"syslog,named,",failed while receiving responses: not authoritative,Master is not authoritative for zone.
"syslog,named,",open: \S+: permission denied$,"Could not open configuration file, permission denied."
"syslog,named,",loading configuration: permission denied,"Could not open configuration file, permission denied."
"syslog,named,",IN SOA -E,Domain in SOA -E.
"syslog,named,",failed to connect: host unreachable,Master appears to be down.
"syslog,named,",IN AXFR -,Domain is queried for a zone transferred.
"syslog,named,",IN A +,Domain A record found.
"syslog,named,",client \S+: bad zone transfer request: \S+: non-authoritative zone \(NOTAUTH\),Bad zone transfer request.
"syslog,named,",refresh: failure trying master,Cannot refresh a domain from the master server.
"syslog,named,",SOA record not at top of zone,Origin of zone and owner name of SOA do not match.
"syslog,named,",command channel listening on,named command channel is listening.
"syslog,named,",automatic empty zone,named has created an automatic empty zone.
"syslog,named,",reloading configuration failed: out of memory,Server does not have enough memory to reload the configuration.
"syslog,named,",zone transfer \S+ denied,zone transfer denied
"syslog,named,",error sending response: host unreachable$,Cannot send a DNS response.
"syslog,named,",update forwarding \.+ denied$,Cannot update forwarding domain.
"syslog,named,",: parsing failed$,Parsing of a configuration file has failed.
"netscreenfw,",SYN flood!,netscreen detected a SYN flood.
"apache,",^\S+ \S+ [error],Nginx error message.
"apache,",^\S+ \S+ [warn],Nginx warning message.
"apache,",^\S+ \S+ [crit],Nginx critical message.
"apache,",failed (2: No such file or directory)|is not found (2: No such file or directory),Server returned 404 (reported in the access.log).
"apache,",accept() failed (53: Software caused connection abort),Incomplete client request.
"apache,",no user/password was provided for basic authentication,Initial 401 authentication request.
"apache,","password mismatch, client| was not found in",Web authentication failed.
"apache,",failed (2: No such file or directory,Common cache error when files were removed.
"apache,",failed (36: File name too long),"Invalid URI, file name too long."
"syslog,dns,nsd,",unrecognized RR type,Syntax error in nsd configuration.
"syslog,dns,nsd,",server initialization failed|syntax error$,Syntax error in nsd configuration.
"syslog,dns,nsd,",^NSTATS|^XSTATS,nsd statistics
"syslog,dns,nsd,",Can't bind,Cannot bind to a socket.
"syslog,dns,nsd,",nsd is already running,nsd is already running.
"syslog,dns,nsd,",received notify response error NOT IMPL,Notify is not implemented.
"syslog,dns,nsd,",read with \d+ errors$,Zone file read with errors.
"syslog,dns,nsd,",received error code,Error grouping.
"syslog,dns,nsd,",NOT IMPL,Zone xfer not implemented.
"syslog,dns,nsd,",tcp: Connection reset by peer$,tcp connection reset.
"syslog,dhcpd,",^DHCPREQUEST|^DHCPOFFER |^DHCPDISCOVER|^DHCPACK,Normal dhcp.
"syslog,dhcpd,",answers a ping after sending a release|Possible release spoof,A host issued a release but is responding to pings.
"syslog,dhcpd,","['expecting left brace.$|', 'fixed-address parameter not allowed here.$|', 'parameters not allowed after first declaration.$|', 'Configuration file errors encountered']",Configuration errors.
"syslog,dhcpd,",exiting.$,dhcpd is exiting.
"syslog,dhcpd,",Can't listen on,dhcpd cannot listen to an interface.
"syslog,dhcpd,",has no subnet declaration for,dhcpd is not configured to listen to an interface.
"syslog,dhcpd,",Listening on,dhcpd has been started.
"syslog,dhcpd,",^Address range,Message with address range.
"syslog,dhcpd,",not on net,Defined address range is not on the configured network.
"syslog,dhcpd,",^no free leases,DHCP server has run out of leases.
"syslog,dhcpd,",^already acking lease,Multiple acks.
"local,syslog,openbsd",,Grouping of bsd_kernel alerts
"local,syslog,openbsd","ichiic0: abort failed, status 0x40",A timeout occurred waiting for a transfer.
"local,syslog,openbsd",Check Condition (error 0x70) on opcode 0x0,Check media in optical drive.
"local,syslog,openbsd",BBB bulk-in clear stall failed,A disk has timed out.
"local,syslog,openbsd",arp info overwritten for,arp info has been overwritten for a host
"local,syslog,openbsd",was not properly unmounted,"A filesystem was not properly unmounted, likely system crash"
"local,syslog,openbsd",UKC> quit,"UKC was used, possibly modifying a kernel at boot time."
"local,syslog,openbsd",Michael MIC failure,Michael MIC failure: Checksum failure in the tkip protocol.
"local,syslog,openbsd",soft error (corrected),"['A soft error has been corrected on a hard drive,', 'this is a possible early sign of failure.']"
"local,syslog,openbsd",unknown event,Unknown acpithinkpad event
"local,syslog,openbsd","Critical temperature, shutting down",System shutdown due to temperature
"local,syslog,openbsd",_AL0[0] _PR0 failed,Unknown ACPI event (bug 6299 in OpenBSD bug tracking system).
"local,syslog,openbsd","ehci_freex: xfer=0xffff8000003ef800 not busy, 0x4f4e5155",USB diagnostic message.
"local,syslog,openbsd","ichiic0: abort failed, status 0x0",Possible APM or ACPI event.
"local,syslog,openbsd",Filesystem is not clean - run fsck,"Unclean filesystem, run fsck."
"local,syslog,openbsd","atascsi_passthru_done, timeout",Timeout in atascsi_passthru_done.
"local,syslog,openbsd",,Clock battery error 80
"local,syslog,openbsd",i/o error on block,I/O error on a storage device
"local,syslog,openbsd",kbc: cmd word write error,kbc error.
"local,syslog,openbsd","BBB reset failed, IOERROR","USB reset failed, IOERROR."
"local,syslog,openbsd",,Grouping for groupdel rules.
"local,syslog,openbsd",group deleted,Group deleted.
"local,syslog,openbsd",no core dump,No core dumps.
"local,syslog,openbsd",rebooted by,System was rebooted.
"local,syslog,openbsd",proxy cannot connect to server,ftp-proxy cannot connect to a server.
"local,syslog,openbsd",uncorrectable data error reading fsbn,Hard drive is dying.
"local,syslog,openbsd",^carp,CARP master to backup.
"local,syslog,openbsd",duplicate IP6 address,Duplicate IPv6 address.
"local,syslog,openbsd",failed loadfirmware of file,Could not load a firmware.
"local,syslog,openbsd",Permission denied$,hotplugd could not open a file.
"local,syslog,openbsd",user removed: name=,User account deleted.
"local,syslog,openbsd",bad peer from,Bad ntp peer.
"local,syslog,openbsd",receive_packet failed on,dhclient receive_packet failed.
"local,syslog,openbsd",Input/output error$,dhclient receive_packet failed due to I/O error.
"local,syslog,openbsd",SIOCDIFADDR failed,SIOCDIFADDR failed
"local,syslog,openbsd",Device not configured$,dhclient: device not configured.
"local,syslog,openbsd,doas",,doas grouping
"local,syslog,openbsd,doas",cannot stat,doas cannot stat a file.
"local,syslog,openbsd,doas",: Permission denied$,doas cannot stat a file due to permissions.
"local,syslog,openbsd,doas",path not secure$,A critical path for doas does not have secure permissions.
"local,syslog,openbsd,doas",failed command for,Failed doas command.
"local,syslog,openbsd,doas",ran command,A command was run using doas.
"local,syslog,openbsd,doas",as root,A doas command was run as root.
"local,syslog,openbsd,doas",failed auth for,doas authentication failed.
"local,syslog,openbsd,doas",^dropped,sendsyslog dropped log messages.
"syslog,smtpd,",New session,New session created.
"syslog,smtpd,",Closing session,Session closed.
"syslog,smtpd,",delivery: Ok,Email delivered.
"syslog,smtpd,",Command not supported$,SMTP command not supported.
"syslog,smtpd,",IO error: No SSL error$,OpenSMTPd: no SSL
"syslog,smtpd,",Server certificate verification failed,Server TLS certificate verification failed.
"ossec,",Agent started,New ossec agent connected.
"ossec,",Ossec started,Ossec server started.
"ossec,",Agent started,Ossec agent started.
"ossec,",Agent disconnected,Ossec agent disconnected.
"ossec,",^NTFS Alternate data stream found,Ignored common NTFS ADS entries.
"ossec,",^Windows Audit,Windows Audit event.
"ossec,",^Windows Malware,Windows malware detected.
"ossec,",^Application Found,Windows application monitor event.
"ossec,","['^Starting rootcheck scan|^Ending rootcheck scan.|', '^Starting syscheck scan|^Ending syscheck scan.']",Ignoring rootcheck/syscheck scan messages.
"ossec,",^System Audit,System Audit event.
"ossec,",Adware|Spyware,Windows Adware/Spyware application found.
"ossec,",^System Audit: Web vulnerability,System Audit: Vulnerable web application found.
"ossec,",^ossec: output:,OSSEC process monitoring rules.
"ossec,",ossec: output: 'df -P': /dev/,Partition usage reached 100% (disk space monitor).
"ossec,",cdrom|/media|usb|/mount|floppy|dvd,Ignoring external medias.
"ossec,",ossec: output: 'netstat -tan,Listened ports status (netstat) changed (new port opened or closed).
"ossec,",ossec: output: 'w',List of logged in users. It will not be alerted by default.
"ossec,",ossec: output: 'last -n,List of the last logged in users.
