group_name,body,description
"ossec,",^ossec: agentless:,Integrity checksum for agentless device changed.
"ossec,",^ossec: File rotated,Log file rotated.
"ossec,",^ossec: File size reduced,Log file size reduced.
"ossec,",^ossec: Event log cleared,Microsoft Event log cleared.
"ossec,",INFO:,Ignore informational messages (usually at startup)
"syslog,owncloud,",Login failed:,ownCloud authentication failed.
"syslog,owncloud,","Passed filename is not valid, might be malicious",ownCloud possible malicious request.
"pam,syslog,",session opened for user,Login session opened.
"pam,syslog,",session closed for user,Login session closed.
"pam,syslog,",authentication failure; logname=,User login failed.
"pam,syslog,",check pass; user unknown,Attempt to login with an invalid user.
"pam,syslog,",^pam_unix(cron:session): session opened for user,Ignoring Annoying Ubuntu/debian cron login events.
"pam,syslog,",^pam_unix(cron:session): session closed for user,Ignoring Annoying Ubuntu/debian cron login events.
"pam,syslog,",^pam_unix\S+: check pass; user unknown$,Ignoring events with a user or a password.
"pam,syslog,",gdm:auth): conversation failed,PAM and gdm are not playing nicely.
"pam,syslog,",cannot open shared object file: No such file or directory,PAM misconfiguration.
"pam,syslog,",illegal module type:,PAM misconfiguration.
"pam,syslog,",: password changed for,User changed password.
"pam,syslog,",password check failed,Password check failed.
"apache,",PHP Warning:,PHP Warning message.
"apache,",PHP Fatal error:,PHP Fatal error.
"apache,",PHP Parse error:,PHP Parse error.
"apache,",^PHP Warning:,PHP Warning message.
"apache,",^PHP Fatal error:,PHP Fatal error.
"apache,",^PHP Parse error:,PHP Parse error.
"apache,","expects parameter 1 to be string, array given in",PHP web attack.
"apache,",Failed opening|failed to open stream,PHP internal error (missing file).
"apache,","bytes written, possibly out of free disk space in",PHP internal error (server out of space).
"apache,",Failed opening required |Call to undefined function,PHP internal error (missing file or function).
"syslog,pix,",Failed|Lost Failover,Firewall failover pair communication problem.
"syslog,postfix,",blocked using,IP Address black-listed by anti-spam (blocked).
"syslog,postfix,","['defer service failure|Resource temporarily unavailable|', '^fatal: the Postfix mail system is not running']",Postfix process error.
"syslog,postfix,",authentication failed,Postfix SASL authentication failure.
"syslog,postfix,",^daemon started,Postfix started.
"syslog,postfix,",^terminating on signal,Postfix stopped.
"syslog,postfix,",^clamsmtpd:,Grouping of the clamsmtpd rules.
"postgresql_log,",duration: | statement:,Database query.
"postgresql_log,",connection authorized,Database authentication success.
"postgresql_log,",authentication failed,Database authentication failure.
"postgresql_log,",terminating connection due,Database shutdown message.
"postgresql_log,",aborting any active transactions|shutting down,Database shutdown message.
"syslog,proftpd,",FTP session opened.$,FTP session opened.
"syslog,proftpd,",FTP session closed.$,FTP session closed.
"syslog,proftpd,",no such user,Attempt to login using a non-existent user.
"syslog,proftpd,",Incorrect password.$|Login failed,Login failed accessing the FTP server
"syslog,proftpd,",Login successful,FTP Authentication success.
"syslog,proftpd,",Connection from \S+ [\S+] denied,Connection denied by ProFTPD configuration.
"syslog,proftpd,",refused connect from,Connection refused by TCP Wrappers.
"syslog,proftpd,",unable to find open port in PassivePorts range,"['Small PassivePorts range in config file.', 'Server misconfiguration.']"
"syslog,proftpd,",Refused PORT,"[""Attempt to bypass firewall that can't adequately"", 'keep state of FTP traffic.']"
"syslog,proftpd,",Maximum login attempts,Multiple failed login attempts.
"syslog,proftpd,",host name/name mismatch|host name/address mismatch,Mismatch in server's hostname.
"syslog,proftpd,",warning: can't verify hostname:,Reverse lookup error (bad ISP config).
"syslog,proftpd,",connect from,Remote host connected to FTP server.
"syslog,proftpd,","FTP no transfer timeout, disconnected",Remote host disconnected due to inactivity.
"syslog,proftpd,","FTP login timed out, disconnected",Remote host disconnected due to login time out.
"syslog,proftpd,","FTP session idle timeout, disconnected",Remote host disconnected due to time out.
"syslog,proftpd,",Data transfer stall timeout:,Data transfer stalled.
"syslog,proftpd,",ProFTPD terminating (signal 11),FTP process crashed.
"syslog,proftpd,",Reallocating sreaddir buffer,FTP server Buffer overflow attempt.
"syslog,proftpd,",listen() failed in,Unable to bind to adress.
"syslog,proftpd,","['error setting IPV6_V6ONLY: Protocol not available|', '- mod_delay/|PAM(setcred): System error|', 'PAM(close_session): System error|cap_set_proc failed|reverting to normal operation|error retrieving information about user']",IPv6 error and mod-delay info (ignored).
"syslog,proftpd,",unable to open incoming connection,"[""Couldn't open the incoming connection."", 'Check log message for reason.']"
"syslog,proxmox-ve,",authentication failure;,Proxmox VE authentication failed.
"syslog,proxmox-ve,",successful auth for user,Proxmox VE authentication succeeded.
"syslog,psad,",scan detected,PSAD group scan detected
"syslog,psad,",added iptables,PSAD group added iptables
"syslog,psad,",DL: 4|DL: 5,PSAD portscan
"syslog,psad,",auto-block against,PSAD auto-block
"syslog,psad,",DL: 3,PSAD level 3 warning
"syslog,psad,",signature match:,PSAD signature match
"syslog,pure-ftpd,",[INFO] New connection from,New FTP connection.
"syslog,pure-ftpd,",[WARNING] Authentication failed for user,FTP Authentication failed.
"syslog,pure-ftpd,",[INFO] Logout| [INFO] Timeout,FTP user logout/timeout
"syslog,pure-ftpd,",[NOTICE],FTP notice messages
"syslog,pure-ftpd,",[INFO] Can't change directory to,Attempt to access invalid directory
"syslog,pure-ftpd,",[INFO] \S+ is now logged in| is now logged in,FTP Authentication success.
"syslog,pure-ftpd,",[INFO] New connection from,New FTP connection.
"syslog,pure-ftpd,",[WARNING] Authentication failed for user,FTP Authentication failed.
"syslog,pure-ftpd,",[INFO] Logout| [INFO] Timeout,FTP user logout/timeout
"syslog,pure-ftpd,",[NOTICE],FTP notice messages
"syslog,pure-ftpd,",[INFO] Can't change directory to,Attempt to access invalid directory
"syslog,pure-ftpd,",[INFO] \S+ is now logged in,FTP Authentication success.
"syslog,racoon,",ISAKMP-SA established,VPN established.
"syslog,racoon,",such policy does not already exist,Roadwarrior configuration (ignored error).
"syslog,racoon,",ignore INITIAL-CONTACT notification,Roadwarrior configuration (ignored warning).
"syslog,racoon,",ERROR: invalid attribute|ERROR: rejected,Invalid configuration settings (ignored error).
"syslog,roundcube,",failed (LOGIN)| Login failed | Authentication failed| Failed login,Roundcube authentication failed.
"syslog,roundcube,",Successful login,Roundcube authentication succeeded.
"syslog,sendmail,",reject=,Grouping of the sendmail reject rules.
"syslog,sendmail,",reject=451 4.1.8,"['Sender domain does not have any valid', 'MX record (Requested action aborted).']"
"syslog,sendmail,",reject=550 5.0.0 |reject=553 5.3.0,"['Rejected by access list', '(55x: Requested action not taken).']"
"syslog,sendmail,",reject=550 5.7.1,"['Attempt to use mail server as relay', '(550: Requested action not taken).']"
"syslog,sendmail,",reject=553 5.1.8,"['Sender domain is not found', '(553: Requested action not taken).']"
"syslog,sendmail,",reject=553 5.5.4,"['Sender address does not have domain', '(553: Requested action not taken).']"
"syslog,sendmail,",rejecting commands from,Sendmail rejected due to pre-greeting.
"syslog,sendmail,",savemail panic,Sendmail save mail panic.
"syslog,sendmail,",^sender check failed|^sender check tempfailed,"['SMF-SAV sendmail milter unable to verify', 'address (REJECTED).']"
"syslog,smbd,",getpeername failed. Error was Transport endpoint,Samba network problems.
"syslog,smbd,",Denied connection from|Connection denied from,Samba connection denied.
"syslog,smbd,",Connection reset by peer,Samba network problems.
"syslog,smbd,",Permission denied--,User action denied by configuration.
"syslog,smbd,",Unable to connect to CUPS server,Samba network problems (unable to connect).
"syslog,smbd,",smbd is already running,An attempt has been made to start smbd but the process is already running.
"syslog,smbd,",nmbd is already running,An attempt has been made to start nmbd but the process is already running.
"syslog,smbd,",Connection denied from,Connection was denied.
"syslog,smbd,",Socket is not connected,"Socket is not connected, write failed."
"syslog,smbd,",gvfsd-smb,Segfault in gvfs-smb.
"syslog,solaris_bsm,",^login,Login session succeeded.
"syslog,solaris_bsm,",^login,Login session failed.
"syslog,solaris_bsm,",^su,User successfully changed UID.
"syslog,solaris_bsm,",^su,User failed to change UID (user id).
"syslog,spamd,",^spamd,Grouping for the spamd rules
"syslog,spamd,",: result:,SPAMD result message (not very usefull here).
"syslog,spamd,",checking message | processing message,Spamd debug event (reading message).
"syslog,sshd,",Bad protocol version identification,"['Possible attack on the ssh server', '(or version gathering).']"
"syslog,sshd,",^reverse mapping,Reverse lookup error (bad ISP or attack).
"syslog,sshd,",fatal: Timeout before authentication for,Timeout while logging in (sshd).
"syslog,sshd,",Did not receive identification string from,SSH insecure connection attempt (scan).
"syslog,sshd,",fatal: buffer_get_string: bad string,OpenSSH challenge-response exploit.
"syslog,sshd,","['error: Could not get shadow information for NOUSER|', 'fatal: Read from socket failed: |error: ssh_msg_send: write|', ""^syslogin_perform_logout: |^pam_succeed_if(sshd:auth): error retrieving information about user|can't verify hostname: getaddrinfo""]",Useless SSHD message without an user/ip and context.
"syslog,sshd,",illegal user|invalid user,Attempt to login using a non-existent user
"syslog,sshd,","['authentication failure; logname= uid=0 euid=0 tty=ssh|', 'input_userauth_request: invalid user|', 'PAM: User not known to the underlying authentication module for illegal user|', 'error retrieving information about user']",Useless/Duplicated SSHD message without a user/ip.
"syslog,sshd,",Corrupted check bytes on,Corrupted bytes on SSHD.
"syslog,sshd,",Local: crc32 compensation attack,SSH CRC-32 Compensation attack
"syslog,sshd,",^Accepted|authenticated.$,SSHD authentication success.
"syslog,sshd,",^Failed|^error: PAM: Authentication,SSHD authentication failed.
"syslog,sshd,",error: Bad prime description in line,SSHD configuration error (moduli).
"syslog,sshd,",not allowed because,Attempt to login using a denied user.
"syslog,sshd,",Received disconnect from,System disconnected from sshd.
"syslog,sshd,",Connection closed,ssh connection closed.
"syslog,sshd,",error: buffer_get_bignum2_ret: negative numbers not supported,SSHD key error.
"syslog,sshd,",fatal: buffer_get_bignum2: buffer error,SSHD key error.
"syslog,sshd,",fatal: Write failed: Host is down,Host ungracefully disconnected.
"syslog,sshd,",error: PAM: Module is unknown for,"Unknown PAM module, PAM misconfiguration."
"syslog,sshd,",failed: Address already in use.,Attempt to start sshd when something already bound to the port.
"syslog,sshd,",Authentication service cannot retrieve user credentials,Authentication services were not able to retrieve user credentials.
"syslog,sshd,",debug1: attempt,Debug message.
"syslog,sshd,",error: connect to \S+ port \d+ failed: Connection refused,SSHD is not accepting connections.
"syslog,sshd,",AKASSH_Version_Mapper1.,SSH Scanning.
"syslog,sshd,",error: connect_to,Possible port forwarding failure.
"syslog,sshd,",Invalid credentials,User entered incorrect password.
"syslog,sshd,",Could not load host key,sshd could not load one or more host keys.
"syslog,sshd,",Write failed: Broken pipe,Failed write due to one host disappearing.
"syslog,sshd,","['^error: setsockopt SO_KEEPALIVE: Connection reset by peer$|', '^error: accept: Software caused connection abort$']",Connection reset or aborted.
"syslog,sshd,",^fatal: Cannot bind any address.$,sshd cannot bind to configured address.
"syslog,sshd,",set_loginuid failed opening loginuid$,pam_loginuid could not open loginuid.
"syslog,sshd,",^error: Could not stat AuthorizedKeysCommand,SSHD configuration error (AuthorizedKeysCommand)
"syslog,sshd,",Connection reset by peer$,ssh connection reset by peer
"syslog,sshd,",Connection refused$,ssh connection refused
"syslog,sshd,",Connection timed out$,ssh connection timed out
"syslog,sshd,",No route to host$,ssh no route to host
"syslog,sshd,",failure direct-tcpip$,ssh port forwarding issue
"syslog,sshd,",Transport endpoint is not connected$,ssh transport endpoint is not connected
"syslog,sshd,",get_remote_port failed$,ssh get_remote_port failed
"syslog,sshd,",bad client public DH value,ssh bad client public DH value
"syslog,sshd,",Corrupted MAC on input.,ssh corrupted MAC on input
"syslog,sshd,",^Bad packet length,ssh bad packet length
"syslog,sshd,",Unable to negotiate with |Unable to negotiate a key,sshd could not negotiate with client.
"syslog,sshd,",no hostkey alg [preauth],No hostkey alg.
"syslog,sshd,",no matching key exchange method found.|Unable to negotiate a key exchange method,Client did not offer an acceptable key exchange method.
"syslog,sshd,",no matching cipher found.,"sshd could not negotiate with client, no matching cipher."
"syslog,sshd,",Failed to create session:,sshd failed to create a session.
"syslog,sshd,",bad ownership or modes for file,Authentication refused due to owner/permissions of authorized_keys.
"syslog,sshd,","failed, subsystem not found$",sshd subsystem request failed.
"syslog,sshd,",but this does not map back to the address - POSSIBLE BREAK-IN ATTEMPT!$,Bad DNS mapping.
"syslog,sshd,",^error: maximum authentication attempts exceeded,Maximum authentication attempts exceeded.
"syslog,errors,",^Couldn't open /etc/securetty,File missing. Root access unrestricted.
"syslog,errors,",core_dumped|failure|error|attack| bad |illegal |denied|refused|unauthorized|fatal|failed|Segmentation Fault|Corrupted,Unknown problem somewhere in the system.
"syslog,errors,",,Non standard syslog message (size too large).
"syslog,errors,",^exiting on signal,Syslogd exiting (logging stopped).
"syslog,errors,",^restart,Syslogd restarted.
"syslog,errors,",,Syslogd restarted.
"syslog,errors,",file system full|No space left on device,File system full.
"syslog,errors,",killed by SIGTERM,Process exiting (killed).
"syslog,errors,","[""terminated without error|can't verify hostname: getaddrinfo|"", 'PPM exceeds tolerance']",Ignoring known false positives on rule 1002..
"syslog,errors,",segfault at,Process segfaulted.
"syslog,nfs,",,NFS rules grouped.
"syslog,nfs,",nfs: mount failure,Unable to mount the NFS share.
"syslog,nfs,",reason given by server: Permission denied,Unable to mount the NFS directory.
"syslog,nfs,",^rpc.mountd: refused mount request from,Unable to mount the NFS directory.
"syslog,nfs,",,Automount informative message
"syslog,xinetd,",^Deactivating service,Excessive number connections to a service.
"syslog,access_control,","['FAILED LOGIN |authentication failure|', 'Authentication failed for|invalid password for|', 'LOGIN FAILURE|auth failure: |authentication error|', 'authinternal failed|Failed to authorize|', 'Wrong password given for|login failed|Auth: Login incorrect|', 'Failed to authenticate user']",User authentication failure.
"syslog,access_control,",more authentication failures;|REPEATED login failures,User missed the password more than one time
"syslog,access_control,",,Connection blocked by Tcp Wrappers.
"syslog,access_control,",ILLEGAL ROOT LOGIN|ROOT LOGIN REFUSED,Illegal root login.
"syslog,access_control,",^ROOT LOGIN  on,Physical root login.
"syslog,access_control,",^Authentication passed,Pop3 Authentication passed.
"syslog,access_control,",,OpenLDAP group.
"syslog,access_control,",ACCEPT from,OpenLDAP connection open.
"syslog,access_control,",RESULT tag=97 err=49,OpenLDAP authentication failed.
"syslog,access_control,",,rshd messages grouped.
"syslog,access_control,",^Connection from \S+ on illegal port$,Connection to rshd from unprivileged port. Possible network scan.
"syslog,smartd,",,Pre-match rule for smartd.
"syslog,smartd,",No configuration file /etc/smartd.conf found,Smartd Started but not configured
"syslog,smartd,",Unable to register ATA device,Smartd configuration problem
"syslog,smartd,",No such device or address,Device configured but not available to Smartd
"syslog,linuxkernel,",,Pre-match rule for kernel messages
"syslog,linuxkernel,","PCI: if you experience problems, try using option",Informative message from the kernel.
"syslog,linuxkernel,",modprobe: Can't locate module sound,Informative message from the kernel
"syslog,linuxkernel,",Oversized packet received from,"['Error message from the kernel.', 'Ping of death attack.']"
"syslog,linuxkernel,",,Interface entered in promiscuous(sniffing) mode.
"syslog,linuxkernel,","['end_request: I/O error, dev fd0, sector 0|', 'Buffer I/O error on device fd0, logical block 0']",Invalid request to /dev/fd0 (bug on the kernel).
"syslog,linuxkernel,",svc: unknown program 100227 (me 100003),NFS incompatibility between Linux and Solaris.
"syslog,linuxkernel,",svc: bad direction,NFS incompatibility between Linux and Solaris.
"syslog,linuxkernel,",Out of Memory:,"['System running out of memory.', 'Availability of the system is in risk.']"
"syslog,linuxkernel,","I/O error: dev |end_request: I/O error, dev",Kernel Input/Output error
"syslog,linuxkernel,",Forged DCC command from,IRC misconfiguration
"syslog,linuxkernel,",ipw2200: Firmware error detected.| ACPI Error,Kernel device error.
"syslog,linuxkernel,",usbhid: probe of,Kernel usbhid probe error (ignored).
"syslog,linuxkernel,",Kernel log daemon terminating,System is shutting down.
"syslog,linuxkernel,",ADSL line is down,Monitor ADSL line is down.
"syslog,linuxkernel,",ADSL line is up,Monitor ADSL line is up.
"syslog,linuxkernel,",^hpiod: unable to ParDevice,Ignoring hpiod for producing useless logs.
"syslog,cron,",,Crontab rule group.
"syslog,cron,",^unable to exec,Wrong crond configuration
"syslog,cron,",BEGIN EDIT,Crontab opened for editing.
"syslog,cron,",REPLACE,Crontab entry changed.
"syslog,cron,",^(root),Root's crontab entry changed.
"syslog, su,",,Initial grouping for su messages.
"syslog, su,",authentication failure; |failed|BAD su|^-,User missed the password to change UID (user id).
"syslog, su,",,User missed the password to change UID to root.
"syslog, su,",,User successfully changed UID to root.
"syslog, su,",,User successfully changed UID.
"syslog, su,",,First time (su) is executed by user.
"syslog, su,",unknown class,A user has attempted to su to an unknown class.
"syslog,tripwire,",Integrity Check failed: File could not,Problems with the tripwire checking
"syslog,adduser",^new group,New group added to the system
"syslog,adduser",^new user|^new account added,New user added to the system
"syslog,adduser",^delete user|^account deleted|^remove group,Group (or user) deleted from the system
"syslog,adduser",^changed user,Information from the user was changed
"syslog,adduser",failed adding user,useradd failed.
"syslog,sudo",,Initial group for sudo messages
"syslog,sudo",incorrect password attempt,Failed attempt to run sudo
"syslog,sudo",,Successful sudo to ROOT executed
"syslog,sudo",,First time user executed sudo.
"syslog,sudo",3 incorrect password attempts,Three failed attempts to run sudo
"syslog,sudo",user NOT in sudoers,Unauthorized user attempted to use sudo.
"syslog,pptp",,PPTPD messages grouped
"syslog,pptp",,PPTPD failed message (communication error)
"syslog,pptp",^tcflush failed: Bad file descriptor,PPTPD communication error
"syslog,squid,",,Squid syslog messages grouped
"syslog,squid,","['^ctx: enter level|^sslRead|^urlParse: Illegal |', '^httpReadReply: Request not yet |^httpReadReply: Excess data']",Squid debug message
"syslog,dpkg,",^startup |^status |^remove |^configure |^install |^purge |^trigproc,Dpkg (Debian Package) log.
"syslog,dpkg,",^\d\d\d\d-\d\d-\d\d \d\d:\d\d:\d\d install,New dpkg (Debian Package) requested to install.
"syslog,dpkg,",^\d\d\d\d-\d\d-\d\d \d\d:\d\d:\d\d status installed,New dpkg (Debian Package) installed.
"syslog,dpkg,","['^\\d\\d\\d\\d-\\d\\d-\\d\\d \\d\\d:\\d\\d:\\d\\d remove|', '^\\d\\d\\d\\d-\\d\\d-\\d\\d \\d\\d:\\d\\d:\\d\\d purge']",Dpkg (Debian Package) removed.
"syslog,yum,",,Yum logs.
"syslog,yum,",^Installed|^Updated|^Erased,Yum logs.
"syslog,yum,",^Installed,New Yum package installed.
"syslog,yum,",^Updated,Yum package updated.
"syslog,yum,",^Erased,Yum package deleted.
"syslog,yum,",,Grouping for the mptscrih rules.
"syslog,yum,",,Grouping for the mptbase rules.
"syslog,yum,",,Possible Disk failure. SCSI controller error.
"syslog,yum,",,"SCSI RAID ARRAY ERROR, drive failed."
"syslog,yum,",,SCSI RAID is now in a degraded status.
"syslog,yum,",,NetworkManager grouping.
"syslog,yum,",No chain/target/match by that name.$,Incorrect chain/target/match.
"syslog,yum,",g_slice_set_config: assertion `sys_page_size == 0' failed,Uninteresting gnome error.
"syslog,yum,",^nouveau,nouveau driver grouping
"syslog,yum,",DATA_ERROR BEGIN_END_ACTIVE$| DATA_ERROR$,Uninteresting nouveau error.
"syslog,yum,",^imuxsock begins to drop messages,rsyslog may be dropping messages due to rate-limiting.
"local,systemd,",Stale file handle$,Stale file handle.
"local,systemd,",Failed to get unit file state for,Failed to get unit state for service. This means that the .service file is missing
"local,systemd,",entered failed state,"Service has entered a failed state, and likely has not started."
"syslog,telnetd",telnetd,Grouping for the telnetd rules
"syslog,telnetd",refused connect from,Connection refused by TCP Wrappers.
"syslog,telnetd",: connect from,Remote host established a telnet connection.
"syslog,telnetd",ttloop:  peer died:|ttloop:  read:,Remote host invalid connection.
"syslog,telnetd",warning: can't verify hostname:,Reverse lookup error (bad hostname config).
"syslog,unbound,",notice:,Notice grouping.
"syslog,unbound,",info:,Info grouping.
"syslog,unbound,",sendto failed: Can't assign requested address,Can't assign requested address.
"syslog,unbound,",A IN$,DNS A request.
"syslog,unbound,",AAAA IN$,DNS AAAA request.
"syslog,vm-pop3d,",failed auth,Login failed accessing the pop3 server.
"vmware,",logged in$,VMWare ESX authentication success.
"vmware,",Failed login attempt for,VMWare ESX authentication failure.
"vmware,",Accepted password for|login from,VMWare ESX user login.
"vmware,",Rejected password for,VMWare ESX user authentication failure.
"vmware,",-> VM_STATE_OFF,Virtual machine state changed to OFF.
"vmware,",-> VM_STATE_POWERING_ON,Virtual machine being turned ON.
"vmware,",-> VM_STATE_ON,Virtual machine state changed to ON.
"vmware,",-> VM_STATE_RECONFIGURING,Virtual machine being reconfigured.
"syslog,vpopmail,",password fail,Login failed for vpopmail.
"syslog,vpopmail,",vpopmail user not found,Attempt to login to vpopmail with invalid username.
"syslog,vpopmail,",null password given,Attempt to login to vpopmail with empty password.
"syslog,vpopmail,",login success,Vpopmail successful login.
"syslog,vsftpd,",CONNECT: Client,FTP session opened.
"syslog,vsftpd,",OK LOGIN:,FTP Authentication success.
"syslog,vsftpd,",FAIL LOGIN:,Login failed accessing the FTP server.
"syslog,vsftpd,",OK UPLOAD:,FTP server file upload.
"web,appsec,attack",POST /,WordPress Comment Spam (coming from a fake search engine UA).
"web,appsec,attack","""GET \S+thumb.php?src=\S+.php",TimThumb vulnerability exploit attempt.
"web,appsec,attack","""POST /\S+.php/login.php?cPath=",osCommerce login.php bypass attempt.
"web,appsec,attack",/admin/\w+.php/login.php,osCommerce file manager login.php bypass attempt.
"web,appsec,attack","""GET /\S+/cache/external\S+.php",TimThumb backdoor access attempt.
"web,appsec,attack","""GET /\S+cart.php?\S+templatefile=../",Cart.php directory transversal attempt.
"web,appsec,attack","""ZmEu""| ""libwww-perl/|""the beast""|""Morfeus|""ZmEu|""Nikto|""w3af.sourceforge.net|MJ12bot/v| Jorgee""|""Proxy Gear Pro|""DataCha0s",Blacklisted user agent (known malicious user agent).
"web,appsec,attack","] ""POST \S+wp-login.php| ""POST /administrator",CMS (WordPress or Joomla) login attempt.
"web,appsec,attack",""" ""Wget/",Blacklisted user agent (wget).
"web,appsec,attack","""GET /\S+/uploadify.php?src=http://\S+.php",Uploadify vulnerability exploit attempt.
"web,appsec,attack","""GET \S+/delete.php?board_skin_path=http://\S+.php",BBS delete.php exploit attempt.
"web,appsec,attack","""GET \S+/shell.php?cmd=",Simple shell.php command execution.
"web,appsec,attack","] ""POST",POST request received.
"web,appsec,attack","""GET /\S+.php?\S+%00",Anomaly URL query (attempting to pass null termination).
"web,accesslog,",%2Bchar\(\d+\)%2Bchar\(\d+\)%2Bchar\(\d+\)%2Bchar\(\d+\)%2Bchar\(\d+\)%2Bchar\(\d+\),"MSSQL Injection attempt (/ur.php, urchin.js)"
"syslog,wordpress,",User authentication failed,Wordpress authentication failed.
"syslog,wordpress,",User logged in,Wordpress authentication succeeded.
"syslog,wordpress,",WPsyslog was successfully initiali,WPsyslog was successfully initialized.
"syslog,wordpress,",Plugin deactivated,Wordpress plugin deactivated.
"syslog,wordpress,",Warning: Comment flood attempt,Wordpress Comment Flood Attempt.
"syslog,wordpress,",Warning: IDS:,Attack against Wordpress detected.
"zeus,",^[\S+ \S+] INFO:|^[\S+ \S+] SSL:,Grouping of Zeus informational logs.
"zeus,",^[\S+ \S+] WARN:,Zeus warning log.
"zeus,",^[\S+ \S+] SERIOUS:,Zeus serious log.
"zeus,",^[\S+ \S+] FATAL:,Zeus fatal log.
"zeus,",admin:Authentication failure,Admin authentication failed.
"zeus,",Unknown directive,Configuration warning (ignored).
