serial_no,open_date,b1,b2,b3,b4,b5,r1,r2
2016035,2016-03-28 (一),17,22,24,25,29,09,12
2016034,2016-03-26 (六),14,18,31,32,35,09,10
2016033,2016-03-23 (三),03,14,15,31,35,09,10
2016032,2016-03-21 (一),05,09,14,20,33,05,12
2016031,2016-03-19 (六),03,14,24,27,29,04,11
2016030,2016-03-16 (三),10,19,21,29,33,04,06
2016029,2016-03-14 (一),20,26,27,29,32,05,12
2016028,2016-03-12 (六),13,18,20,23,31,03,06
2016027,2016-03-09 (三),06,11,13,15,28,02,06
2016025,2016-03-05 (六),03,06,13,23,24,07,10
2016024,2016-03-02 (三),01,02,11,15,18,04,08
2016023,2016-02-29 (一),04,09,14,25,27,06,11
2016022,2016-02-27 (六),04,18,21,30,35,02,11
2016021,2016-02-24 (三),01,04,09,10,35,09,11
2016020,2016-02-22 (一),01,16,22,29,30,02,09
2016019,2016-02-20 (六),04,11,15,20,26,08,09
2016018,2016-02-17 (三),05,10,13,27,33,08,11
2016017,2016-02-15 (一),11,18,24,28,29,05,10
2016016,2016-02-06 (六),03,10,22,29,32,02,05
2016015,2016-02-03 (三),01,04,10,13,30,03,09
2016014,2016-02-01 (一),06,08,21,24,27,02,10
2016013,2016-01-30 (六),03,21,23,31,35,02,11
2016012,2016-01-27 (三),05,07,11,23,28,03,12
2016011,2016-01-25 (一),02,08,10,15,23,05,10
2016010,2016-01-23 (六),12,13,15,16,28,02,05
2016009,2016-01-20 (三),05,08,10,17,20,02,12
2016008,2016-01-18 (一),05,12,31,34,35,04,05
2016007,2016-01-16 (六),02,05,14,32,35,01,03
2016006,2016-01-13 (三),14,16,17,22,24,02,09
2016005,2016-01-11 (一),06,09,12,15,20,08,11
2016004,2016-01-09 (六),10,20,23,32,35,09,10
2016003,2016-01-06 (三),04,12,17,22,26,06,07
2016002,2016-01-04 (一),07,12,18,25,35,07,09
2016001,2016-01-02 (六),01,07,19,20,30,05,10
2015153,2015-12-30 (三),01,07,22,27,33,02,11
2015152,2015-12-28 (一),04,05,22,29,35,02,11
2015151,2015-12-26 (六),15,16,18,30,35,01,07
2015150,2015-12-23 (三),04,13,18,25,33,03,07
2015149,2015-12-21 (一),04,06,10,12,28,02,08
2015148,2015-12-19 (六),08,11,27,31,33,08,09
2015147,2015-12-16 (三),01,02,13,18,19,08,10
2015146,2015-12-14 (一),04,15,19,27,31,04,11
2015145,2015-12-12 (六),06,07,20,29,32,11,12
2015144,2015-12-09 (三),01,09,24,26,29,06,11
2015143,2015-12-07 (一),09,20,31,33,35,10,11
2015142,2015-12-05 (六),12,14,22,26,30,03,06
2015141,2015-12-02 (三),02,04,15,19,31,02,03
2015140,2015-11-30 (一),01,11,15,26,35,06,11
2015139,2015-11-28 (六),02,03,05,25,32,05,07
2015138,2015-11-25 (三),01,16,20,29,32,04,07
2015137,2015-11-23 (一),14,17,21,23,26,08,11
2015136,2015-11-21 (六),05,20,23,29,32,02,10
2015135,2015-11-18 (三),05,16,20,25,29,06,08
2015134,2015-11-16 (一),01,02,06,15,35,04,07
2015133,2015-11-14 (六),03,07,08,25,30,04,08
2015132,2015-11-11 (三),03,08,14,18,27,01,05
2015131,2015-11-09 (一),11,17,19,20,27,02,03
2015130,2015-11-07 (六),17,25,31,32,34,02,12
2015129,2015-11-04 (三),01,06,23,25,29,03,09
2015128,2015-11-02 (一),10,12,23,30,32,03,04
2015127,2015-10-31 (六),09,11,14,19,30,03,08
2015126,2015-10-28 (三),04,05,08,09,21,03,06
2015125,2015-10-26 (一),02,03,15,17,28,08,10
2015124,2015-10-24 (六),04,06,12,31,32,03,06
2015123,2015-10-21 (三),04,15,27,29,30,02,10
2015122,2015-10-19 (一),11,13,15,26,35,06,11
2015121,2015-10-17 (六),02,04,17,27,28,04,06
2015120,2015-10-14 (三),01,09,15,24,32,05,10
2015119,2015-10-12 (一),01,08,12,16,21,06,11
2015118,2015-10-10 (六),03,07,20,24,31,04,09
2015117,2015-10-07 (三),06,17,20,30,33,10,11
2015116,2015-10-05 (一),07,10,19,24,33,03,07
2015115,2015-10-03 (六),08,12,13,14,16,03,09
2015114,2015-09-30 (三),09,18,24,31,34,02,10
2015113,2015-09-28 (一),01,14,21,29,33,02,10
2015112,2015-09-26 (六),04,05,15,19,28,04,11
2015111,2015-09-23 (三),07,08,16,24,28,03,10
2015110,2015-09-21 (一),02,07,10,22,30,07,11
2015109,2015-09-19 (六),01,06,11,22,31,03,12
2015108,2015-09-16 (三),01,13,16,26,31,07,12
2015107,2015-09-14 (一),03,23,25,28,29,06,07
2015106,2015-09-12 (六),02,11,13,22,30,02,03
2015105,2015-09-09 (三),08,09,15,21,27,05,09
2015104,2015-09-07 (一),16,19,25,30,34,04,09
2015103,2015-09-05 (六),07,09,15,25,34,04,10
2015102,2015-09-02 (三),11,14,15,33,34,03,12
2015101,2015-08-31 (一),06,12,17,18,32,07,12
2015100,2015-08-29 (六),09,15,18,23,32,05,07
2015099,2015-08-26 (三),09,12,14,22,25,05,10
2015098,2015-08-24 (一),09,14,21,27,33,06,09
2015097,2015-08-22 (六),04,16,17,26,27,01,04
2015096,2015-08-19 (三),03,09,12,18,21,02,06
2015095,2015-08-17 (一),08,14,26,34,35,05,10
2015094,2015-08-15 (六),02,03,10,11,29,03,07
2015093,2015-08-12 (三),16,17,25,26,27,02,04
2015092,2015-08-10 (一),02,14,21,27,34,05,08
2015091,2015-08-08 (六),02,07,28,29,30,03,07
2015090,2015-08-05 (三),06,09,11,17,21,06,08
2015089,2015-08-03 (一),05,12,18,20,27,10,12
2015088,2015-08-01 (六),05,15,28,31,34,11,12
2015087,2015-07-29 (三),02,05,15,17,22,01,11
2015086,2015-07-27 (一),05,09,11,15,32,04,09
2015085,2015-07-25 (六),02,03,04,06,16,03,12
2015084,2015-07-22 (三),10,20,21,32,34,06,07
2015083,2015-07-20 (一),14,16,19,25,29,10,12
2015082,2015-07-18 (六),08,15,28,31,33,03,06
2015081,2015-07-15 (三),03,04,10,13,17,05,09
2015080,2015-07-13 (一),14,20,29,30,32,03,08
2015079,2015-07-11 (六),01,09,17,23,24,04,05
2015078,2015-07-08 (三),19,24,26,28,33,01,02
2015077,2015-07-06 (一),01,16,17,22,28,02,09
2015076,2015-07-04 (六),03,19,21,31,34,05,12
2015075,2015-07-01 (三),13,14,26,27,33,10,12
2015074,2015-06-29 (一),01,12,21,27,33,04,09
2015073,2015-06-27 (六),09,26,27,30,34,01,06
2015072,2015-06-24 (三),19,20,21,31,33,09,10
2015071,2015-06-22 (一),04,06,13,16,34,04,10
2015070,2015-06-20 (六),03,09,12,17,18,04,12
2015069,2015-06-17 (三),02,09,11,22,25,01,07
2015068,2015-06-15 (一),02,03,20,31,35,04,08
2015067,2015-06-13 (六),04,10,18,24,27,04,11
2015066,2015-06-10 (三),01,03,07,13,29,02,10
2015065,2015-06-08 (一),04,05,07,13,35,08,11
2015064,2015-06-06 (六),02,08,20,28,31,07,10
2015063,2015-06-03 (三),01,04,06,34,35,02,04
2015062,2015-06-01 (一),06,07,13,14,15,01,04
2015061,2015-05-30 (六),06,07,08,16,22,02,10
2015060,2015-05-27 (三),16,24,25,26,33,04,11
2015059,2015-05-25 (一),07,09,19,23,32,01,03
2015058,2015-05-23 (六),10,14,20,27,30,07,12
2015057,2015-05-20 (三),01,05,07,14,26,04,06
2015056,2015-05-18 (一),06,12,19,26,35,03,10
2015055,2015-05-16 (六),06,11,14,20,30,05,10
2015054,2015-05-13 (三),02,09,15,24,34,03,09
2015053,2015-05-11 (一),08,25,28,29,32,04,07
2015052,2015-05-09 (六),13,19,24,27,29,07,08
2015051,2015-05-06 (三),01,02,11,16,21,01,05
2015050,2015-05-04 (一),06,07,10,20,28,02,07
2015049,2015-05-02 (六),08,09,11,15,22,08,10
2015048,2015-04-29 (三),10,11,22,24,33,02,09
2015047,2015-04-27 (一),01,02,17,23,31,05,12
2015046,2015-04-25 (六),05,07,10,22,26,04,10
2015045,2015-04-22 (三),08,09,22,29,30,08,12
2015044,2015-04-20 (一),16,18,27,31,33,01,03
2015043,2015-04-18 (六),02,20,22,25,29,02,07
2015042,2015-04-15 (三),03,07,12,17,24,02,11
2015041,2015-04-13 (一),01,11,21,23,28,01,10
2015040,2015-04-11 (六),02,09,10,23,35,09,12
2015039,2015-04-08 (三),03,06,07,16,25,01,06
2015038,2015-04-06 (一),12,19,22,31,35,07,08
2015037,2015-04-04 (六),10,16,21,28,31,07,08
2015036,2015-04-01 (三),14,18,20,23,24,04,08
2015035,2015-03-30 (一),22,24,29,30,35,01,10
2015034,2015-03-28 (六),04,08,15,18,26,05,09
2015033,2015-03-25 (三),03,17,22,26,28,03,07
2015032,2015-03-23 (一),06,21,25,27,30,07,11
2015031,2015-03-21 (六),07,21,29,32,33,04,12
2015030,2015-03-18 (三),09,18,19,26,31,02,05
2015029,2015-03-16 (一),07,10,19,30,35,03,05
2015028,2015-03-14 (六),03,09,28,32,33,09,10
2015027,2015-03-11 (三),05,21,22,25,28,03,10
2015026,2015-03-09 (一),11,13,14,15,22,02,08
2015025,2015-03-07 (六),07,10,20,22,27,10,11
2015024,2015-03-04 (三),02,06,08,16,34,03,04
2015023,2015-03-02 (一),06,09,11,12,22,03,11
2015022,2015-02-28 (六),09,11,14,15,26,11,12
2015021,2015-02-25 (三),22,23,24,26,31,05,06
2015020,2015-02-16 (一),11,26,28,29,32,01,04
2015019,2015-02-14 (六),02,08,16,22,24,01,03
2015018,2015-02-11 (三),04,07,10,23,31,03,07
2015017,2015-02-09 (一),07,13,16,17,29,01,07
2015016,2015-02-07 (六),06,07,16,20,34,09,11
2015015,2015-02-04 (三),01,05,13,17,32,04,11
2015014,2015-02-02 (一),08,16,25,29,35,03,10
2015013,2015-01-31 (六),11,15,25,28,35,07,10
2015012,2015-01-28 (三),03,04,06,11,31,05,09
2015011,2015-01-26 (一),04,13,22,25,30,01,06
2015010,2015-01-24 (六),02,06,17,30,35,02,07
2015009,2015-01-21 (三),17,22,26,27,33,06,10
2015008,2015-01-19 (一),07,10,11,15,17,03,10
2015007,2015-01-17 (六),02,07,08,14,31,04,08
2015006,2015-01-14 (三),06,08,30,32,33,03,07
2015005,2015-01-12 (一),11,14,15,18,19,07,08
2015004,2015-01-10 (六),03,12,14,18,28,05,06
2015003,2015-01-07 (三),12,19,27,28,34,01,12
2015002,2015-01-05 (一),03,14,20,26,32,06,10
2015001,2015-01-03 (六),08,09,19,27,30,06,07
2014154,2014-12-31 (三),05,12,17,23,28,02,09
2014153,2014-12-29 (一),01,08,13,24,32,05,10
2014152,2014-12-27 (六),05,12,18,24,33,01,05
2014151,2014-12-24 (三),03,08,26,31,32,08,12
2014150,2014-12-22 (一),19,21,30,33,35,05,07
2014149,2014-12-20 (六),02,13,19,26,35,01,05
2014148,2014-12-17 (三),03,09,10,11,20,07,09
2014147,2014-12-15 (一),05,09,14,26,34,02,09
2014146,2014-12-13 (六),02,16,23,24,28,10,11
2014145,2014-12-10 (三),15,19,22,24,26,10,11
2014144,2014-12-08 (一),01,21,24,25,35,04,11
2014143,2014-12-06 (六),01,11,14,18,25,06,10
2014142,2014-12-03 (三),18,21,25,28,30,04,06
2014141,2014-12-01 (一),04,17,20,26,29,05,08
2014140,2014-11-29 (六),01,19,20,25,34,07,12
2014139,2014-11-26 (三),03,05,07,15,34,01,10
2014138,2014-11-24 (一),01,07,29,32,34,09,12
2014137,2014-11-22 (六),02,11,16,22,34,02,05
2014136,2014-11-19 (三),04,18,20,34,35,07,11
2014135,2014-11-17 (一),20,26,28,30,35,09,12
2014134,2014-11-15 (六),02,05,07,11,32,09,12
2014133,2014-11-12 (三),02,08,12,14,18,04,12
2014132,2014-11-10 (一),01,03,04,19,32,01,07
2014131,2014-11-08 (六),03,16,19,23,27,03,07
2014130,2014-11-05 (三),02,18,31,32,33,05,07
2014129,2014-11-03 (一),07,22,28,30,32,05,06
2014128,2014-11-01 (六),02,04,16,22,34,08,11
2014127,2014-10-29 (三),02,04,06,15,19,02,11
2014126,2014-10-27 (一),02,09,22,30,34,09,10
2014125,2014-10-25 (六),12,15,19,23,31,04,10
2014124,2014-10-22 (三),01,03,28,29,35,08,12
2014123,2014-10-20 (一),01,09,12,22,25,02,09
2014122,2014-10-18 (六),03,10,25,26,35,01,07
2014121,2014-10-15 (三),13,16,18,22,32,08,10
2014120,2014-10-13 (一),01,04,06,18,33,05,11
2014119,2014-10-11 (六),04,08,09,13,18,08,12
2014118,2014-10-08 (三),02,03,23,24,26,05,11
2014117,2014-10-06 (一),03,14,17,18,33,06,09
2014116,2014-10-04 (六),06,13,15,24,27,04,05
2014115,2014-10-01 (三),01,05,26,29,30,02,10
2014114,2014-09-29 (一),03,16,24,30,33,05,08
2014113,2014-09-27 (六),02,13,17,19,23,01,06
2014112,2014-09-24 (三),03,05,14,18,32,02,10
2014111,2014-09-22 (一),11,16,18,20,29,03,04
2014110,2014-09-20 (六),09,18,19,22,24,08,11
2014109,2014-09-17 (三),15,18,20,21,23,01,02
2014108,2014-09-15 (一),01,02,13,23,35,09,12
2014107,2014-09-13 (六),05,13,14,21,34,08,10
2014106,2014-09-10 (三),05,09,11,20,22,05,11
2014105,2014-09-08 (一),04,10,26,29,32,04,08
2014104,2014-09-06 (六),07,13,14,28,32,04,11
2014103,2014-09-03 (三),14,20,23,25,26,10,12
2014102,2014-09-01 (一),01,07,14,19,20,03,12
2014101,2014-08-30 (六),09,10,12,17,28,03,11
2014100,2014-08-27 (三),02,04,08,12,35,01,07
2014099,2014-08-25 (一),15,21,22,23,33,01,07
2014098,2014-08-23 (六),16,18,22,25,35,03,10
2014097,2014-08-20 (三),03,15,20,21,23,07,09
2014096,2014-08-18 (一),03,07,21,23,31,05,10
2014095,2014-08-16 (六),06,22,30,31,34,05,06
2014094,2014-08-13 (三),13,14,24,25,34,04,07
2014093,2014-08-11 (一),03,08,30,32,34,09,11
2014092,2014-08-09 (六),02,18,27,30,32,05,11
2014091,2014-08-06 (三),10,16,18,29,32,02,07
2014090,2014-08-04 (一),02,03,20,23,28,06,08
2014089,2014-08-02 (六),02,08,12,29,30,07,12
2014088,2014-07-30 (三),07,13,20,25,26,08,11
2014087,2014-07-28 (一),04,07,31,33,35,09,10
2014086,2014-07-26 (六),06,08,27,29,35,03,09
2014085,2014-07-23 (三),06,12,13,25,29,11,12
2014084,2014-07-21 (一),02,07,09,11,28,05,09
2014083,2014-07-19 (六),18,20,24,33,35,05,10
2014082,2014-07-16 (三),01,08,18,23,25,08,12
2014081,2014-07-14 (一),03,05,08,10,25,09,12
2014080,2014-07-12 (六),17,20,23,25,27,03,10
2014079,2014-07-09 (三),09,10,20,31,32,06,10
2014078,2014-07-07 (一),10,15,16,22,28,04,05
2014077,2014-07-05 (六),09,16,26,31,32,01,05
2014076,2014-07-02 (三),05,10,19,31,32,09,10
2014075,2014-06-30 (一),05,07,29,32,35,04,10
2014074,2014-06-28 (六),06,11,22,27,30,05,11
2014073,2014-06-25 (三),04,05,07,13,35,05,06
2014072,2014-06-23 (一),17,19,22,24,30,02,09
2014071,2014-06-21 (六),04,14,15,22,23,01,07
2014070,2014-06-18 (三),01,02,07,10,32,04,12
2014069,2014-06-16 (一),16,22,27,29,31,02,09
2014068,2014-06-14 (六),05,15,24,29,35,05,06
2014067,2014-06-11 (三),03,18,23,24,31,03,07
2014066,2014-06-09 (一),08,14,16,20,31,03,11
2014065,2014-06-07 (六),07,12,19,31,33,07,12
2014064,2014-06-04 (三),08,15,33,34,35,01,08
2014063,2014-06-02 (一),11,17,21,23,34,03,04
2014062,2014-05-31 (六),04,07,17,24,25,02,04
2014061,2014-05-28 (三),04,11,17,20,29,06,10
2014060,2014-05-26 (一),12,22,29,30,34,05,11
2014059,2014-05-24 (六),07,15,17,25,29,04,11
2014058,2014-05-21 (三),09,15,22,24,26,02,07
2014057,2014-05-19 (一),08,10,20,27,33,01,09
2014056,2014-05-17 (六),12,18,28,29,35,07,08
2014055,2014-05-14 (三),04,23,26,27,35,10,11
2014054,2014-05-12 (一),02,03,20,25,34,01,12
2014053,2014-05-10 (六),02,11,17,27,30,03,04
2014052,2014-05-07 (三),14,19,21,24,30,02,07
2014051,2014-05-05 (一),01,07,11,29,30,03,11
2014050,2014-05-03 (六),10,18,27,28,35,01,06
2014049,2014-04-30 (三),03,15,17,22,31,03,05
2014048,2014-04-28 (一),01,02,05,15,35,01,11
2014047,2014-04-26 (六),06,17,18,30,34,06,12
2014046,2014-04-23 (三),03,15,18,21,26,01,06
2014045,2014-04-21 (一),06,10,12,16,30,02,11
2014044,2014-04-19 (六),22,23,25,27,35,03,11
2014043,2014-04-16 (三),01,11,23,29,30,01,12
2014042,2014-04-14 (一),16,21,25,27,35,06,11
2014041,2014-04-12 (六),05,07,11,15,18,05,12
2014040,2014-04-09 (三),12,15,21,30,33,02,08
2014039,2014-04-07 (一),02,05,11,15,20,08,11
2014038,2014-04-05 (六),07,08,12,20,32,03,05
2014037,2014-04-02 (三),03,04,08,19,34,02,04
2014036,2014-03-31 (一),01,02,12,17,29,03,08
2014035,2014-03-29 (六),09,12,14,28,29,03,10
2014034,2014-03-26 (三),03,11,14,27,32,05,07
2014033,2014-03-24 (一),01,07,08,28,29,04,08
2014032,2014-03-22 (六),02,05,06,09,31,02,09
2014031,2014-03-19 (三),06,15,27,32,33,03,04
2014030,2014-03-17 (一),03,14,18,29,35,11,12
2014029,2014-03-15 (六),03,21,22,23,35,05,09
2014028,2014-03-12 (三),03,10,20,25,30,10,12
2014027,2014-03-10 (一),09,10,24,28,29,10,12
2014026,2014-03-08 (六),05,10,12,15,26,04,08
2014025,2014-03-05 (三),19,20,27,32,34,06,08
2014024,2014-03-03 (一),07,11,15,31,32,06,11
2014023,2014-03-01 (六),04,13,15,29,33,05,09
2014022,2014-02-26 (三),03,06,10,16,25,10,11
2014021,2014-02-24 (一),06,10,17,23,24,03,09
2014020,2014-02-22 (六),01,14,17,30,35,06,07
2014019,2014-02-19 (三),07,12,22,29,32,11,12
2014018,2014-02-17 (一),08,09,12,28,34,02,12
2014017,2014-02-15 (六),05,10,11,23,34,01,10
2014016,2014-02-12 (三),04,06,13,24,34,04,09
2014015,2014-02-10 (一),04,06,18,20,30,05,07
2014014,2014-02-08 (六),01,09,11,27,29,03,11
2014013,2014-01-29 (三),10,11,13,22,28,04,12
2014012,2014-01-27 (一),09,20,21,23,29,05,07
2014011,2014-01-25 (六),04,06,14,24,35,07,12
2014010,2014-01-22 (三),05,10,20,26,27,01,03
2014009,2014-01-20 (一),10,18,25,29,33,07,08
2014008,2014-01-18 (六),11,13,20,28,35,01,05
2014007,2014-01-15 (三),08,11,14,21,32,03,11
2014006,2014-01-13 (一),01,04,07,16,35,06,08
2014005,2014-01-11 (六),15,17,18,29,33,04,08
2014004,2014-01-08 (三),07,10,19,27,28,09,12
2014003,2014-01-06 (一),07,11,13,21,33,05,06
2014002,2014-01-04 (六),01,12,21,24,29,01,07
2014001,2014-01-01 (三),05,13,20,23,29,08,11
2013153,2013-12-30 (一),04,05,16,17,30,03,09
2013152,2013-12-28 (六),09,12,14,18,19,03,09
2013151,2013-12-25 (三),02,13,21,27,30,03,04
2013150,2013-12-23 (一),06,07,14,18,22,08,11
2013149,2013-12-21 (六),06,07,08,09,13,05,07
2013148,2013-12-18 (三),02,05,09,29,32,03,07
2013147,2013-12-16 (一),03,09,22,24,25,05,09
2013146,2013-12-14 (六),06,07,15,25,31,01,09
2013145,2013-12-11 (三),02,13,15,18,20,02,11
2013144,2013-12-09 (一),03,20,21,23,35,02,08
2013143,2013-12-07 (六),03,08,14,21,31,06,08
2013142,2013-12-04 (三),06,11,25,28,29,04,12
2013141,2013-12-02 (一),05,15,18,25,31,08,10
2013140,2013-11-30 (六),01,12,17,26,28,01,06
2013139,2013-11-27 (三),05,06,18,20,31,06,07
2013138,2013-11-25 (一),03,08,13,17,24,07,09
2013137,2013-11-23 (六),04,12,32,33,34,06,08
2013136,2013-11-20 (三),05,11,15,25,28,05,11
2013135,2013-11-18 (一),04,13,19,25,26,07,12
2013134,2013-11-16 (六),02,13,19,23,32,02,09
2013133,2013-11-13 (三),02,08,10,16,17,09,12
2013132,2013-11-11 (一),23,26,28,31,34,02,10
2013131,2013-11-09 (六),12,15,29,30,31,04,12
2013130,2013-11-06 (三),08,09,15,19,30,06,09
2013129,2013-11-04 (一),11,23,29,30,33,01,04
2013128,2013-11-02 (六),11,13,27,33,35,01,02
2013127,2013-10-30 (三),03,14,16,19,32,05,10
2013126,2013-10-28 (一),09,10,15,18,30,03,06
2013125,2013-10-26 (六),04,08,14,23,28,04,08
2013124,2013-10-23 (三),05,07,18,21,32,10,11
2013123,2013-10-21 (一),02,09,10,33,34,05,12
2013122,2013-10-19 (六),15,17,20,24,35,04,12
2013121,2013-10-16 (三),03,18,19,20,24,03,12
2013120,2013-10-14 (一),06,14,15,22,26,03,11
2013119,2013-10-12 (六),01,02,16,23,35,01,11
2013118,2013-10-09 (三),04,06,11,20,31,01,05
2013117,2013-10-07 (一),05,16,23,25,33,07,12
2013116,2013-10-05 (六),13,22,23,30,33,09,11
2013115,2013-10-02 (三),05,16,29,32,34,04,11
2013114,2013-09-30 (一),06,17,21,23,33,01,09
2013113,2013-09-28 (六),19,21,23,28,30,08,12
2013112,2013-09-25 (三),02,10,20,22,29,05,12
2013111,2013-09-23 (一),07,12,13,20,27,01,03
2013110,2013-09-21 (六),07,16,18,32,33,02,07
2013109,2013-09-18 (三),13,20,26,29,32,02,06
2013108,2013-09-16 (一),05,10,13,15,18,02,11
2013107,2013-09-14 (六),07,13,14,18,25,05,12
2013106,2013-09-11 (三),06,07,12,13,27,03,12
2013105,2013-09-09 (一),07,13,27,30,34,01,12
2013104,2013-09-07 (六),02,05,11,27,29,01,11
2013103,2013-09-04 (三),05,08,13,16,31,03,09
2013102,2013-09-02 (一),06,12,15,19,26,02,11
2013101,2013-08-31 (六),04,09,13,15,32,02,09
2013100,2013-08-28 (三),09,12,24,26,30,05,09
2013099,2013-08-26 (一),04,11,28,30,33,05,12
2013098,2013-08-24 (六),02,06,16,29,34,10,11
2013097,2013-08-21 (三),07,08,13,17,32,03,08
2013096,2013-08-19 (一),17,19,20,22,26,06,08
2013095,2013-08-17 (六),03,17,28,30,33,01,10
2013094,2013-08-14 (三),03,28,33,34,35,06,09
2013093,2013-08-12 (一),01,05,17,18,26,05,07
2013092,2013-08-10 (六),07,10,21,27,33,03,09
2013091,2013-08-07 (三),04,09,28,34,35,02,08
2013090,2013-08-05 (一),02,26,30,31,33,11,12
2013089,2013-08-03 (六),06,07,23,24,29,04,11
2013088,2013-07-31 (三),03,05,08,33,35,01,03
2013087,2013-07-29 (一),09,12,22,32,34,02,04
2013086,2013-07-27 (六),09,16,26,29,31,06,09
2013085,2013-07-24 (三),08,19,23,27,32,03,05
2013084,2013-07-22 (一),08,22,26,29,35,01,05
2013083,2013-07-20 (六),26,29,30,32,35,04,10
2013082,2013-07-17 (三),03,09,25,26,33,03,12
2013081,2013-07-15 (一),07,09,15,17,23,02,07
2013080,2013-07-13 (六),06,21,23,27,31,04,06
2013079,2013-07-10 (三),09,10,17,21,34,01,07
2013078,2013-07-08 (一),02,07,23,31,33,02,08
2013077,2013-07-06 (六),24,26,30,32,35,06,12
2013076,2013-07-03 (三),13,15,16,26,27,09,10
2013075,2013-07-01 (一),01,11,13,19,35,07,08
2013074,2013-06-29 (六),06,14,20,24,32,01,07
2013073,2013-06-26 (三),03,05,23,27,31,02,06
2013072,2013-06-24 (一),12,27,28,33,35,03,05
2013071,2013-06-22 (六),13,19,26,27,28,03,11
2013070,2013-06-19 (三),09,12,18,21,29,01,08
2013069,2013-06-17 (一),06,12,13,16,30,07,12
2013068,2013-06-15 (六),10,17,27,34,35,05,07
2013067,2013-06-12 (三),02,03,05,08,29,10,12
2013066,2013-06-10 (一),06,07,13,33,34,02,11
2013065,2013-06-08 (六),09,28,31,34,35,02,09
2013064,2013-06-05 (三),21,24,26,28,32,01,03
2013063,2013-06-03 (一),03,05,11,27,28,05,06
2013062,2013-06-01 (六),01,05,08,09,12,09,12
2013061,2013-05-29 (三),01,14,18,21,32,05,10
2013060,2013-05-27 (一),15,25,26,32,35,05,10
2013059,2013-05-25 (六),03,08,11,24,27,07,12
2013058,2013-05-22 (三),20,21,27,31,35,07,11
2013057,2013-05-20 (一),07,15,27,33,35,07,10
2013056,2013-05-18 (六),11,22,30,32,35,03,04
2013055,2013-05-15 (三),04,05,22,23,24,03,09
2013054,2013-05-13 (一),05,08,21,30,32,01,08
2013053,2013-05-11 (六),13,31,33,34,35,05,07
2013052,2013-05-08 (三),01,02,10,29,31,01,10
2013051,2013-05-06 (一),05,08,15,18,33,07,08
2013050,2013-05-04 (六),14,22,30,32,33,07,08
2013049,2013-05-01 (三),18,22,25,31,32,04,06
2013048,2013-04-29 (一),10,11,23,32,33,01,04
2013047,2013-04-27 (六),12,20,28,30,35,03,11
2013046,2013-04-24 (三),15,16,19,25,32,05,11
2013045,2013-04-22 (一),08,11,12,21,25,02,07
2013044,2013-04-20 (六),07,11,13,18,28,05,10
